word list,keyword_group,kesma_proportion,independent_proportion
"orbán, magyar, viktor, orbán viktor, ukrán, péter, tisza, európai, miniszterelnök, videó","orbán, magyar, viktor, orbán viktor, ukrán, péter, tisza, európai, miniszterelnök, videó",0.6854460093896714,0.4327141774071266
"forint, milliárd, szijjártó péter, szijjártó, kft, milliárd forint, péter, külgazdasági, hazai, értékben","forint, milliárd, szijjártó péter, szijjártó, kft, milliárd forint, péter, külgazdasági, hazai, értékben",0.2000335345405768,0.17304776345716452
"szijjártó, szijjártó péter, keleten, péter, arab, haza, keleti, repülőtér, külgazdasági, térségben","szijjártó, szijjártó péter, keleten, péter, arab, haza, keleti, repülőtér, külgazdasági, térségben",0.19751844399731724,0.20489006823351025
"termékek, hatóság, élelmiszer, nemzeti, kereskedelmi, veszélyes, vállalat, kft, piacon, onlin","termékek, hatóság, élelmiszer, nemzeti, kereskedelmi, veszélyes, vállalat, kft, piacon, onlin",0.08584842387659289,0.09931766489764973
"bank, jegybank, nemzeti bank, magyar nemzeti, 25, forint, nemzeti, magyar, százalékos, magyarországon","bank, jegybank, nemzeti bank, magyar nemzeti, 25, forint, nemzeti, magyar, százalékos, magyarországon",0.3539570757880617,0.2867702805155421
"magyar, orbán, választási, fidesz, párt, magyar péter, dk, péter, tisza, választáson","magyar, orbán, választási, fidesz, párt, magyar péter, dk, péter, tisza, választáson",0.5437625754527163,0.42589082638362397
"izraeli, izrael, iráni, irán, libanoni, hadsereg, izraeli hadsereg, védelmi, egyesült, erők","izraeli, izrael, iráni, irán, libanoni, hadsereg, izraeli hadsereg, védelmi, egyesült, erők",0.14839034205231388,0.3305534495830174
"bence, szabó, szabó bence, nyomozó, alkotmányvédelmi, direkt36, tisza, gulyás, titkosszolgálati, alkotmányvédelmi hivatal","bence, szabó, szabó bence, nyomozó, alkotmányvédelmi, direkt36, tisza, gulyás, titkosszolgálati, alkotmányvédelmi hivatal",0.15308517773306507,0.13949962092494314
"orosz, putyin, szijjártó, vlagyimir, szijjártó péter, vlagyimir putyin, magyar, oroszország, péter, kreml","orosz, putyin, szijjártó, vlagyimir, szijjártó péter, vlagyimir putyin, magyar, oroszország, péter, kreml",0.4166666666666667,0.29700530705079603
"barátság, kőolajvezeték, barátság kőolajvezeték, európai, ukrajna, orosz, zelenszkij, orbán, vezeték, szlovák","barátság, kőolajvezeték, barátság kőolajvezeték, európai, ukrajna, orosz, zelenszkij, orbán, vezeték, szlovák",0.49614352783366866,0.24507202426080363
"megölték, ali, vezetőjét, valóban, ali hamenei, hamenei, légicsapásokban, ajatollahot, hamenei ajatollahot, hameneit","megölték, ali, vezetőjét, valóban, ali hamenei, hamenei, légicsapásokban, ajatollahot, hamenei ajatollahot, hameneit",0.012743125419181758,0.05344958301743745
"védett, üzemanyag, kormány, ár, benzin, áron, dízel, rendkívüli, magyar, liter","védett, üzemanyag, kormány, ár, benzin, áron, dízel, rendkívüli, magyar, liter",0.3301475519785379,0.26724791508718726
"milliárd, mnb, forint, bank, magyar nemzeti, nemzeti bank, forintot, millió, hadházy, magya","milliárd, mnb, forint, bank, magyar nemzeti, nemzeti bank, forintot, millió, hadházy, magya",0.07042253521126761,0.05913570887035633
"medián, tisza, 21, 21 kutatóközpont, körében, kutatóközpont, biztos, vezet, választani, intézet","medián, tisza, 21, 21 kutatóközpont, körében, kutatóközpont, biztos, vezet, választani, intézet",0.15526492287055668,0.11315390447308567
"mentesítő, rekedt, air, szijjártó, keleti, haza, szijjártó péter, helyzet, járat, keletről","mentesítő, rekedt, air, szijjártó, keleti, haza, szijjártó péter, helyzet, járat, keletről",0.12139503688799463,0.09893858984078847
"plakátokat, választási, plakátok, kossuth, fideszes, videót, díjat, jakab, péter, takács","plakátokat, választási, plakátok, kossuth, fideszes, videót, díjat, jakab, péter, takács",0.20657276995305165,0.20394238059135708
"ukrán, pénzszállítók, ukrán pénzszállítók, pénzszállító, lefoglalt, tek, magyar hatóságok, hatóságok, ügyvédje, nav","ukrán, pénzszállítók, ukrán pénzszállítók, pénzszállító, lefoglalt, tek, magyar hatóságok, hatóságok, ügyvédje, nav",0.19785378940308518,0.10538286580742987
"gyula, orvos, országos, intézet, lemondott, orvosi, kórházi, osztrák, főigazgatója, főigazgat","gyula, orvos, országos, intézet, lemondott, orvosi, kórházi, osztrák, főigazgatója, főigazgat",0.028672032193158954,0.04245640636846096
"rendszerbontó, puzsér, hősök, hősök terén, színpadra, terén, mocskos, nagykoncerten, rendszerbontó nagykoncerten, puzsér róbert","rendszerbontó, puzsér, hősök, hősök terén, színpadra, terén, mocskos, nagykoncerten, rendszerbontó nagykoncerten, puzsér róbert",0.025653923541247486,0.04473085670962851
"kubai, spanyol, trump, vitályos, ausztria, szentendrén, amerikai, vitályos eszter, eszter, katonai","kubai, spanyol, trump, vitályos, ausztria, szentendrén, amerikai, vitályos eszter, eszter, katonai",0.1215627095908786,0.23426838514025777
"amerikai hadsereg, hadsereg, iráni, áldozatainak száma, áldozatainak, meghalt irán, meghalhatott, tájékoztató, tegnapi, parancsnokságának","amerikai hadsereg, hadsereg, iráni, áldozatainak száma, áldozatainak, meghalt irán, meghalhatott, tájékoztató, tegnapi, parancsnokságának",0.0687458081824279,0.17930250189537528
"444, percről percre, percről, győztesnek, percre, turisztikai, ügynöksége, békemenetet, nemzeti meneten, kormánypárti média","444, percről percre, percről, győztesnek, percre, turisztikai, ügynöksége, békemenetet, nemzeti meneten, kormánypárti média",0.011234071093226022,0.04283548142532222
"békemenet, andrássy, tömeg, menet, eleje, hősök, margit, kossuth, téren, andrássy úton","békemenet, andrássy, tömeg, menet, eleje, hősök, margit, kossuth, téren, andrássy úton",0.05449362843729041,0.060462471569370735
"drón, dróntámadás, dubaji, repülőtér, drónok, közelében, drónt, drón csapódott, nemzetközi repülőtér, amerikai","drón, dróntámadás, dubaji, repülőtér, drónok, közelében, drónt, drón csapódott, nemzetközi repülőtér, amerikai",0.09875922199865862,0.19313874147081123
"catl, debreceni, debreceni catl, debrecen, veszélyes, tárkányi, tárkányi zsolt, anyagokat, kft, vizsgálatot","catl, debreceni, debreceni catl, debrecen, veszélyes, tárkányi, tárkányi zsolt, anyagokat, kft, vizsgálatot",0.02028839704896043,0.019522365428354813
"ukrán, zelenszkij, magyar, európai, ukrajna, barátság, péter, orbán, magyar péter, magyarország","ukrán, zelenszkij, magyar, európai, ukrajna, barátság, péter, orbán, magyar péter, magyarország",0.6698524480214622,0.400303260045489
"viktor, orbán viktor, orbán, miniszterelnök, tömeg, békemenet, országjárása, hatalmas, oldalán, közösségi","viktor, orbán viktor, orbán, miniszterelnök, tömeg, békemenet, országjárása, hatalmas, oldalán, közösségi",0.3529510395707579,0.2137983320697498
"panyi, külföldi, szabolcs, tiszás, szijjártó, tisza, szijjártó péter, újságíró, titkosszolgálati, péter","panyi, külföldi, szabolcs, tiszás, szijjártó, tisza, szijjártó péter, újságíró, titkosszolgálati, péter",0.27129443326626423,0.2098180439727066
"védett, tisza, kapitány, párt, tisza párt, kapitány istván, istván, rezsicsökkentés, tiszás, magyar","védett, tisza, kapitány, párt, tisza párt, kapitány istván, istván, rezsicsökkentés, tiszás, magyar",0.36653252850435947,0.28714935557240334
"orosz, ukrán, erők, drónok, oroszország, drón, ukrajna, támadás, independent, március","orosz, ukrán, erők, drónok, oroszország, drón, ukrajna, támadás, independent, március",0.3501006036217304,0.23730098559514784
"fidesz, választási, országgyűlési, nemzeti, egyéni, választás, iroda, 12, április, április 12","fidesz, választási, országgyűlési, nemzeti, egyéni, választás, iroda, 12, április, április 12",0.1919852448021462,0.22706595905989385
"migrációs, spanyol, migráció, németországban, illegális, európai, európa, német, iráni, nyugat","migrációs, spanyol, migráció, németországban, illegális, európai, európa, német, iráni, nyugat",0.21009389671361503,0.21304018195602728
"trump, donald, donald trump, irán, amerikai, amerikai elnök, elnök, egyesült, iráni, államok","trump, donald, donald trump, irán, amerikai, amerikai elnök, elnök, egyesült, iráni, államok",0.19852448021462105,0.3595526914329037
"vance, amerikai, alelnök, amerikai alelnök, jd, jd vance, trump, vance amerikai, donald, orbán","vance, amerikai, alelnök, amerikai alelnök, jd, jd vance, trump, vance amerikai, donald, orbán",0.3158953722334004,0.3354814253222138
"hormuzi, irán, globális, szoros, iráni, olaj, hormuzi szoros, világ, háború, tengeri","hormuzi, irán, globális, szoros, iráni, olaj, hormuzi szoros, világ, háború, tengeri",0.17119382964453386,0.30079605761940864
"tiszás, puzsér, fidesz, nyitókép, fiatalok, rendszerbontó, róbert, videó, tiszások, hann","tiszás, puzsér, fidesz, nyitókép, fiatalok, rendszerbontó, róbert, videó, tiszások, hann",0.2290409121395037,0.12357846853677028
"izrael, irán, izraeli, iráni, egyesült, államok, indított, egyesült államok, teherán, katonai","izrael, irán, izraeli, iráni, egyesült, államok, indított, egyesült államok, teherán, katonai",0.15090543259557343,0.33965125094768767
"áramlat, török, török áramlat, szerb, gázvezeték, találtak, közelében, magyarországot, áramlatot, északi","áramlat, török, török áramlat, szerb, gázvezeték, találtak, közelében, magyarországot, áramlatot, északi",0.057176391683433934,0.0466262319939348
"balázs, egyetem, magyar, alapítvány, felelős, oktatási, ferenc, miniszter, felelős miniszter, idei","balázs, egyetem, magyar, alapítvány, felelős, oktatási, ferenc, miniszter, felelős miniszter, idei",0.3289738430583501,0.2613722517058378
"radnai, magyar péter, radnai márk, márk, péter, magyar, kocsis, tisza, kocsis máté, máté","radnai, magyar péter, radnai márk, márk, péter, magyar, kocsis, tisza, kocsis máté, máté",0.3744131455399061,0.2930250189537528
"ukrajnában, férfit, férfi, felvétel, utcán, ukrán, ukrajnai, látható, videó, férfiakat","ukrajnában, férfit, férfi, felvétel, utcán, ukrán, ukrajnai, látható, videó, férfiakat",0.32025486250838364,0.11808188021228203
