respondent_id,topic_id,Outlet group,Source,rating
1,kt0,KESMA,R2,4.0
2,kt0,KESMA,R2,1.0
3,kt0,KESMA,R2,2.0
4,kt0,KESMA,R2,5.0
5,kt0,KESMA,R2,1.0
6,kt0,KESMA,R2,4.0
7,kt0,KESMA,R2,5.0
8,kt0,KESMA,R2,3.0
9,kt0,KESMA,R2,2.0
10,kt0,KESMA,R2,1.0
1,kt1,KESMA,R2,2.0
2,kt1,KESMA,R2,7.0
3,kt1,KESMA,R2,2.0
4,kt1,KESMA,R2,1.0
5,kt1,KESMA,R2,6.0
6,kt1,KESMA,R2,6.0
7,kt1,KESMA,R2,6.0
8,kt1,KESMA,R2,3.0
9,kt1,KESMA,R2,6.0
10,kt1,KESMA,R2,1.0
1,kt2,KESMA,R2,1.0
2,kt2,KESMA,R2,1.0
3,kt2,KESMA,R2,2.0
4,kt2,KESMA,R2,3.0
5,kt2,KESMA,R2,2.0
6,kt2,KESMA,R2,2.0
7,kt2,KESMA,R2,1.0
8,kt2,KESMA,R2,5.0
9,kt2,KESMA,R2,4.0
10,kt2,KESMA,R2,5.0
1,kt3,KESMA,R2,5.0
2,kt3,KESMA,R2,1.0
3,kt3,KESMA,R2,5.0
4,kt3,KESMA,R2,3.0
5,kt3,KESMA,R2,2.0
6,kt3,KESMA,R2,3.0
7,kt3,KESMA,R2,2.0
8,kt3,KESMA,R2,2.0
9,kt3,KESMA,R2,4.0
10,kt3,KESMA,R2,2.0
1,kt4,KESMA,R2,2.0
2,kt4,KESMA,R2,4.0
3,kt4,KESMA,R2,4.0
4,kt4,KESMA,R2,3.0
5,kt4,KESMA,R2,3.0
6,kt4,KESMA,R2,6.0
7,kt4,KESMA,R2,1.0
8,kt4,KESMA,R2,4.0
9,kt4,KESMA,R2,5.0
10,kt4,KESMA,R2,7.0
1,it0,Independent,R2,1.0
2,it0,Independent,R2,7.0
3,it0,Independent,R2,3.0
4,it0,Independent,R2,4.0
5,it0,Independent,R2,5.0
6,it0,Independent,R2,4.0
7,it0,Independent,R2,3.0
8,it0,Independent,R2,5.0
9,it0,Independent,R2,5.0
10,it0,Independent,R2,4.0
1,it1,Independent,R2,1.0
2,it1,Independent,R2,4.0
3,it1,Independent,R2,3.0
4,it1,Independent,R2,5.0
5,it1,Independent,R2,3.0
6,it1,Independent,R2,4.0
7,it1,Independent,R2,1.0
8,it1,Independent,R2,4.0
9,it1,Independent,R2,4.0
10,it1,Independent,R2,2.0
1,it2,Independent,R2,2.0
2,it2,Independent,R2,7.0
3,it2,Independent,R2,6.0
4,it2,Independent,R2,3.0
5,it2,Independent,R2,6.0
6,it2,Independent,R2,7.0
7,it2,Independent,R2,7.0
8,it2,Independent,R2,5.0
9,it2,Independent,R2,7.0
10,it2,Independent,R2,4.0
1,it3,Independent,R2,3.0
2,it3,Independent,R2,1.0
3,it3,Independent,R2,2.0
4,it3,Independent,R2,6.0
5,it3,Independent,R2,7.0
6,it3,Independent,R2,3.0
7,it3,Independent,R2,2.0
8,it3,Independent,R2,5.0
9,it3,Independent,R2,1.0
10,it3,Independent,R2,2.0
1,it4,Independent,R2,3.0
2,it4,Independent,R2,1.0
3,it4,Independent,R2,2.0
4,it4,Independent,R2,5.0
5,it4,Independent,R2,2.0
6,it4,Independent,R2,4.0
7,it4,Independent,R2,1.0
8,it4,Independent,R2,1.0
9,it4,Independent,R2,1.0
10,it4,Independent,R2,1.0
1,it5,Independent,R2,4.0
2,it5,Independent,R2,4.0
3,it5,Independent,R2,4.0
4,it5,Independent,R2,5.0
5,it5,Independent,R2,4.0
6,it5,Independent,R2,5.0
7,it5,Independent,R2,4.0
8,it5,Independent,R2,2.0
9,it5,Independent,R2,5.0
10,it5,Independent,R2,4.0
1,it6,Independent,R2,5.0
2,it6,Independent,R2,1.0
3,it6,Independent,R2,1.0
4,it6,Independent,R2,2.0
5,it6,Independent,R2,3.0
6,it6,Independent,R2,2.0
7,it6,Independent,R2,1.0
8,it6,Independent,R2,2.0
9,it6,Independent,R2,2.0
10,it6,Independent,R2,2.0
1,it7,Independent,R2,3.0
2,it7,Independent,R2,7.0
3,it7,Independent,R2,2.0
4,it7,Independent,R2,6.0
5,it7,Independent,R2,6.0
6,it7,Independent,R2,7.0
7,it7,Independent,R2,7.0
8,it7,Independent,R2,5.0
9,it7,Independent,R2,2.0
10,it7,Independent,R2,4.0
1,it8,Independent,R2,1.0
2,it8,Independent,R2,7.0
3,it8,Independent,R2,6.0
4,it8,Independent,R2,6.0
5,it8,Independent,R2,2.0
6,it8,Independent,R2,7.0
7,it8,Independent,R2,7.0
8,it8,Independent,R2,6.0
9,it8,Independent,R2,7.0
10,it8,Independent,R2,7.0
1,it9,Independent,R2,3.0
2,it9,Independent,R2,1.0
3,it9,Independent,R2,2.0
4,it9,Independent,R2,2.0
5,it9,Independent,R2,4.0
6,it9,Independent,R2,2.0
7,it9,Independent,R2,4.0
8,it9,Independent,R2,4.0
9,it9,Independent,R2,7.0
10,it9,Independent,R2,5.0
1,it10,Independent,R2,1.0
2,it10,Independent,R2,4.0
3,it10,Independent,R2,3.0
4,it10,Independent,R2,5.0
5,it10,Independent,R2,5.0
7,it10,Independent,R2,4.0
8,it10,Independent,R2,6.0
9,it10,Independent,R2,5.0
10,it10,Independent,R2,5.0
1,it11,Independent,R2,3.0
2,it11,Independent,R2,4.0
3,it11,Independent,R2,2.0
4,it11,Independent,R2,3.0
5,it11,Independent,R2,4.0
6,it11,Independent,R2,1.0
7,it11,Independent,R2,4.0
8,it11,Independent,R2,1.0
9,it11,Independent,R2,1.0
10,it11,Independent,R2,2.0
1,it12,Independent,R2,2.0
2,it12,Independent,R2,7.0
3,it12,Independent,R2,6.0
4,it12,Independent,R2,5.0
5,it12,Independent,R2,4.0
6,it12,Independent,R2,6.0
7,it12,Independent,R2,7.0
8,it12,Independent,R2,6.0
9,it12,Independent,R2,6.0
10,it12,Independent,R2,4.0
1,it13,Independent,R2,4.0
2,it13,Independent,R2,7.0
3,it13,Independent,R2,7.0
4,it13,Independent,R2,2.0
5,it13,Independent,R2,7.0
6,it13,Independent,R2,5.0
7,it13,Independent,R2,2.0
8,it13,Independent,R2,7.0
9,it13,Independent,R2,5.0
10,it13,Independent,R2,3.0
1,it14,Independent,R2,2.0
2,it14,Independent,R2,1.0
3,it14,Independent,R2,2.0
4,it14,Independent,R2,4.0
5,it14,Independent,R2,5.0
6,it14,Independent,R2,6.0
7,it14,Independent,R2,1.0
8,it14,Independent,R2,6.0
9,it14,Independent,R2,2.0
10,it14,Independent,R2,3.0
1,it15,Independent,R2,2.0
2,it15,Independent,R2,7.0
3,it15,Independent,R2,4.0
4,it15,Independent,R2,5.0
5,it15,Independent,R2,6.0
6,it15,Independent,R2,3.0
7,it15,Independent,R2,5.0
8,it15,Independent,R2,5.0
9,it15,Independent,R2,6.0
10,it15,Independent,R2,5.0
1,it16,Independent,R2,3.0
2,it16,Independent,R2,7.0
3,it16,Independent,R2,6.0
4,it16,Independent,R2,6.0
5,it16,Independent,R2,7.0
6,it16,Independent,R2,6.0
7,it16,Independent,R2,4.0
8,it16,Independent,R2,5.0
9,it16,Independent,R2,7.0
10,it16,Independent,R2,7.0
1,it17,Independent,R2,1.0
2,it17,Independent,R2,1.0
3,it17,Independent,R2,6.0
4,it17,Independent,R2,1.0
5,it17,Independent,R2,6.0
6,it17,Independent,R2,2.0
7,it17,Independent,R2,1.0
8,it17,Independent,R2,3.0
9,it17,Independent,R2,5.0
10,it17,Independent,R2,6.0
1,it18,Independent,R2,3.0
2,it18,Independent,R2,4.0
3,it18,Independent,R2,4.0
4,it18,Independent,R2,4.0
5,it18,Independent,R2,5.0
6,it18,Independent,R2,6.0
7,it18,Independent,R2,6.0
8,it18,Independent,R2,4.0
9,it18,Independent,R2,4.0
10,it18,Independent,R2,2.0
1,it19,Independent,R2,2.0
2,it19,Independent,R2,7.0
3,it19,Independent,R2,6.0
4,it19,Independent,R2,7.0
5,it19,Independent,R2,5.0
6,it19,Independent,R2,7.0
7,it19,Independent,R2,7.0
8,it19,Independent,R2,5.0
9,it19,Independent,R2,4.0
10,it19,Independent,R2,2.0
2,kst0,KESMA,R3,1.0
3,kst0,KESMA,R3,4.0
4,kst0,KESMA,R3,2.0
5,kst0,KESMA,R3,2.0
7,kst0,KESMA,R3,1.0
8,kst0,KESMA,R3,5.0
9,kst0,KESMA,R3,4.0
10,kst0,KESMA,R3,1.0
1,kst1,KESMA,R3,2.0
2,kst1,KESMA,R3,1.0
3,kst1,KESMA,R3,4.0
4,kst1,KESMA,R3,1.0
5,kst1,KESMA,R3,1.0
6,kst1,KESMA,R3,1.0
7,kst1,KESMA,R3,1.0
8,kst1,KESMA,R3,2.0
9,kst1,KESMA,R3,1.0
10,kst1,KESMA,R3,1.0
1,kst2,KESMA,R3,2.0
2,kst2,KESMA,R3,4.0
3,kst2,KESMA,R3,6.0
4,kst2,KESMA,R3,4.0
5,kst2,KESMA,R3,6.0
6,kst2,KESMA,R3,3.0
7,kst2,KESMA,R3,4.0
8,kst2,KESMA,R3,6.0
9,kst2,KESMA,R3,3.0
10,kst2,KESMA,R3,1.0
1,kst3,KESMA,R3,4.0
2,kst3,KESMA,R3,4.0
3,kst3,KESMA,R3,3.0
4,kst3,KESMA,R3,5.0
5,kst3,KESMA,R3,2.0
7,kst3,KESMA,R3,7.0
8,kst3,KESMA,R3,7.0
9,kst3,KESMA,R3,4.0
10,kst3,KESMA,R3,2.0
1,kst4,KESMA,R3,3.0
2,kst4,KESMA,R3,2.0
3,kst4,KESMA,R3,2.0
4,kst4,KESMA,R3,6.0
5,kst4,KESMA,R3,6.0
6,kst4,KESMA,R3,3.0
7,kst4,KESMA,R3,5.0
8,kst4,KESMA,R3,2.0
9,kst4,KESMA,R3,1.0
10,kst4,KESMA,R3,5.0
1,kst5,KESMA,R3,3.0
2,kst5,KESMA,R3,4.0
3,kst5,KESMA,R3,4.0
4,kst5,KESMA,R3,2.0
5,kst5,KESMA,R3,4.0
6,kst5,KESMA,R3,4.0
7,kst5,KESMA,R3,1.0
8,kst5,KESMA,R3,4.0
9,kst5,KESMA,R3,6.0
10,kst5,KESMA,R3,1.0
1,kst6,KESMA,R3,6.0
2,kst6,KESMA,R3,1.0
3,kst6,KESMA,R3,2.0
4,kst6,KESMA,R3,2.0
5,kst6,KESMA,R3,1.0
6,kst6,KESMA,R3,1.0
7,kst6,KESMA,R3,1.0
8,kst6,KESMA,R3,3.0
9,kst6,KESMA,R3,3.0
10,kst6,KESMA,R3,1.0
1,kst7,KESMA,R3,2.0
2,kst7,KESMA,R3,1.0
3,kst7,KESMA,R3,2.0
4,kst7,KESMA,R3,5.0
5,kst7,KESMA,R3,3.0
6,kst7,KESMA,R3,4.0
7,kst7,KESMA,R3,4.0
8,kst7,KESMA,R3,5.0
9,kst7,KESMA,R3,3.0
10,kst7,KESMA,R3,1.0
1,kst8,KESMA,R3,3.0
2,kst8,KESMA,R3,1.0
3,kst8,KESMA,R3,1.0
4,kst8,KESMA,R3,1.0
5,kst8,KESMA,R3,2.0
6,kst8,KESMA,R3,3.0
7,kst8,KESMA,R3,1.0
8,kst8,KESMA,R3,2.0
9,kst8,KESMA,R3,4.0
10,kst8,KESMA,R3,1.0
1,kst9,KESMA,R3,4.0
2,kst9,KESMA,R3,4.0
3,kst9,KESMA,R3,4.0
4,kst9,KESMA,R3,4.0
5,kst9,KESMA,R3,3.0
6,kst9,KESMA,R3,4.0
7,kst9,KESMA,R3,1.0
8,kst9,KESMA,R3,4.0
9,kst9,KESMA,R3,6.0
10,kst9,KESMA,R3,3.0
1,kst10,KESMA,R3,1.0
2,kst10,KESMA,R3,7.0
3,kst10,KESMA,R3,6.0
4,kst10,KESMA,R3,2.0
5,kst10,KESMA,R3,6.0
6,kst10,KESMA,R3,6.0
7,kst10,KESMA,R3,4.0
8,kst10,KESMA,R3,7.0
9,kst10,KESMA,R3,2.0
10,kst10,KESMA,R3,6.0
1,kst11,KESMA,R3,1.0
2,kst11,KESMA,R3,4.0
3,kst11,KESMA,R3,4.0
4,kst11,KESMA,R3,5.0
5,kst11,KESMA,R3,6.0
7,kst11,KESMA,R3,6.0
8,kst11,KESMA,R3,3.0
9,kst11,KESMA,R3,4.0
10,kst11,KESMA,R3,3.0
1,kst12,KESMA,R3,4.0
2,kst12,KESMA,R3,1.0
3,kst12,KESMA,R3,2.0
4,kst12,KESMA,R3,2.0
5,kst12,KESMA,R3,3.0
6,kst12,KESMA,R3,4.0
7,kst12,KESMA,R3,3.0
8,kst12,KESMA,R3,2.0
9,kst12,KESMA,R3,3.0
10,kst12,KESMA,R3,6.0
1,kst13,KESMA,R3,3.0
2,kst13,KESMA,R3,7.0
3,kst13,KESMA,R3,5.0
4,kst13,KESMA,R3,4.0
5,kst13,KESMA,R3,5.0
6,kst13,KESMA,R3,6.0
7,kst13,KESMA,R3,3.0
8,kst13,KESMA,R3,3.0
9,kst13,KESMA,R3,7.0
10,kst13,KESMA,R3,5.0
1,kst14,KESMA,R3,4.0
2,kst14,KESMA,R3,7.0
3,kst14,KESMA,R3,6.0
4,kst14,KESMA,R3,5.0
5,kst14,KESMA,R3,3.0
6,kst14,KESMA,R3,4.0
7,kst14,KESMA,R3,7.0
8,kst14,KESMA,R3,7.0
9,kst14,KESMA,R3,1.0
10,kst14,KESMA,R3,4.0
1,kst15,KESMA,R3,3.0
2,kst15,KESMA,R3,1.0
3,kst15,KESMA,R3,2.0
4,kst15,KESMA,R3,3.0
5,kst15,KESMA,R3,2.0
6,kst15,KESMA,R3,1.0
7,kst15,KESMA,R3,1.0
8,kst15,KESMA,R3,1.0
9,kst15,KESMA,R3,2.0
10,kst15,KESMA,R3,1.0
